INVOICE_MONTH,SHIP_TO_ACCOUNT_NUMBER,SHIP_TO_ACCOUNT_NAME,SHIP_TO_CUSTOMER_TIER,SHIP_TO_SALES_REGION,SHIP_TO_SALES_REGION_DESCRIPTION,SHIP_TO_SALES_DISTRICT,SHIP_TO_SALES_DISTRICT_DESCRIPTION,SHIP_TO_SALES_TERRITORY,SHIP_TO_SALES_TERRITORY_DESCRIPTION,SHIP_TO_CITY,SHIP_TO_STATE,SHIP_TO_POSTAL_CODE,SHIP_TO_SPECIAL_GROUP,SHIP_TO_SPECIAL_GROUP_DESCRIPTION,SKU,SPECIES,PRODUCT_FORM,DISEASE_CATEGORY,PRODUCT_LINE,BRAND_CODE,BRAND_NAME,ECC_SALES_USD
2023-01-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-5804,N/A,Bag,Snacks,Snacks,SNA,Snackify,3079.5128311925
2023-02-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-4458,N/A,Bag,Electronics,Electronics,QUI,QuickMart,0.0
2023-02-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-9525,N/A,Bag,Snacks,Snacks,SNA,Snackify,2429.13429899958
2023-02-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-6556,N/A,Bulk,Household,Household,ECO,EcoClean,59.95138662111799
2023-03-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-8777,N/A,Bulk,Personal Care,Personal Care,BRI,BrightTech,0.0
2023-03-01,56499,Kirk-Lewis Store,C,R3,East,D4,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-7530,N/A,Packaged,Personal Care,Personal Care,QUI,QuickMart,3391.588601156175
2023-04-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-5319,N/A,Packaged,Personal Care,Personal Care,QUI,QuickMart,3373.5478555963355
2023-04-01,56499,Kirk-Lewis Store,C,R3,East,D1,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-5451,N/A,Bag,Snacks,Snacks,FRE,FreshWave,2069.416767979077
2023-05-01,56499,Kirk-Lewis Store,C,R3,East,D2,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-9584,N/A,Box,Electronics,Electronics,SNA,Snackify,858.6358302147464
2023-05-01,56499,Kirk-Lewis Store,C,R3,East,D3,East District,TERR-9,TERR-9 Description,Lake Amy,OR,64349,Seasonal,Seasonal Group,SKU-4932,N/A,Bag,Personal Care,Personal Care,FRE,FreshWave,2835.262071075586
